PR5ES,17.3,3200 x 1800,HD,Intel Core i7(Skylake / 6. generace),4,LPDDR4,2.133,64,Linux,1841,SSHD,NVIDIA Quadro M1000M,red,24,319,315,5
SNCRY,17.3,2560 x 1440,HD,Intel Core i3(Skylake / 6. generace),4,DDR3 SODIMM,2.133,8,Windows 10,1981,HDD,AMD Radeon R7 M445,red,40,340,355,3
W56HQ,17.3,3840 x 2160,UHD 4K0,Intel Core i3(Skylake / 6. generace),2,LPDDR4,1.666,32,no OS,983,SSHD,NVIDIA GeForce GTX 960M,red,48,362,185,0
ZMC9H,14,1920 x 1080,WQHD,Intel Core i3(Skylake / 6. generace),2,DDR3 SODIMM,2.400,64,UHD 4K0,769,SSD,AMD Radeon R7 M445,grey,23,384,226,2
2I6ZN,15.6,1920 x 1080,UHD 4K0,Intel Core i5(Haswell / 4. generace),4,DDR3 SODIMM,2.133,8,Linux,1307,SSD,AMD Radeon R7 M445,black,30,406,329,5
50CBE,15.6,1366 x 768,WQHD,Intel Core i3(Kaby Lake / 7. generace) ,2,DDR4 SODIMM,2.133,8,Windows 7,1094,SSHD,AMD Radeon R7 M445,black,46,427,370,3
9IJ37,13.3,3200 x 1800,QHD +,Intel Core i3(Kaby Lake / 7. generace) ,4,LPDDR4,1.666,16,Windows 10,1632,HDD,NVIDIA GeForce GTX 960M,white,12,449,200,4
BDDTB,13.3,3200 x 1800,UHD 4K0,Intel Core M7(Skylake / 6. generace),2,DDR4 SODIMM,2.133,8,Linux,1418,SSD,NVIDIA GeForce GTX 1070,grey,20,270,241,2
EVKJ4,13.3,1366 x 768,HD,Intel Core i3(Haswell / 4. generace),4,DDR3 SODIMM,2.133,64,Windows 8.1,1957,HDD,AMD Radeon R5 M430,black,36,291,344,5
HDDWW,15.6,2560 x 1440,Full HD,Intel Core i3(Haswell / 4. generace),2,LPDDR4,1.666,8,Windows 8.1,1743,SSD,NVIDIA GeForce 940MX,white,43,313,385,1
L9KNN,14,1920 x 1080,WQHD,Intel Core i7(Crystal Well / 4. generace),4,DDR4 SODIMM,2.133,64,UHD 4K0,1550,HDD,NVIDIA GeForce GTX 1050,white,18,335,215,4
ORDDT,14,2560 x 1440,WQHD,Intel Core i7(Broadwell / 5. generace),2,LPDDR4,1.666,32,Windows 8.1,67,HDD,AMD Radeon R5 M430,silver,26,357,318,2
R9K4K,14,3200 x 1800,QHD +,Intel Core i7(Broadwell / 5. generace),4,DDR4 SODIMM,1.666,16,UHD 4K0,646,SSHD,AMD Radeon R5 M430,silver,42,373,359,3
U4EHC,15.6,1366 x 768,QHD +,Intel Core i7(Broadwell / 5. generace),2,DDR4 SODIMM,2.133,12,Windows 10,391,SSHD,NVIDIA GeForce 940MX,silver,49,395,189,1
YML8H,17.3,1366 x 768,WXGA,Intel Core M7(Skylake / 6. generace),4,LPDDR4,1.666,8,Linux,930,SSD,NVIDIA GeForce GTX 1050,silver,24,417,229,4
14EY-,14,1280 x 800,WXGA,Intel Core i3(Kaby Lake / 7. generace) ,2,DDR3 SODIMM,2.400,64,Windows 8.1,1450,SSHD,AMD Radeon R5 M430,silver,31,438,333,0
40LB2,17.3,3840 x 2160,WXGA,Intel Core i3(Kaby Lake / 7. generace) ,4,DDR3 SODIMM,2.400,32,Windows 10,1254,HDD,NVIDIA GeForce GTX 1070,silver,39,259,374,3
8HS27,13.3,3840 x 2160,WXGA,Intel Core i5(Skylake / 6. generace),2,DDR3 SODIMM,2.133,8,Windows 10,1041,SSD,AMD Radeon R5 M430,grey,14,281,203,1
AZLSZ,17.3,1920 x 1080,Full HD,Intel Core M5(Skylake / 6. generace),4,LPDDR4,1.666,32,UHD 4K0,1579,SSHD,NVIDIA GeForce GTX 960M,grey,21,303,307,2
DVTJQ,17.3,2560 x 1440,WQHD,Intel Core M3(Skylake / 6. generace),2,DDR3 SODIMM,2.400,8,Linux,1365,SSHD,NVIDIA Quadro M1000M,grey,37,324,348,0
